MunicipalityId;Name;Status;District;County;Area;Population;Latitude;Longitude
01508;Ipolyszog;kozseg;Balassagyarmati;Nograd;607;556;48.0546;19.2318
01526;Somoskoujfalu;kozseg;Salgotarjani;Nograd;519;2034;48.1618;19.8242
02015;Rackeresztur;kozseg;Martonvasari;Fejer;3530;3427;47.2739;18.834
02024;Martonyi;kozseg;Edelenyi;Borsod-Abauj-Zemplen;1757;366;48.4689;20.7656
02033;Kakasd;kozseg;Bonyhadi;Tolna;2078;1621;46.3463;18.5927
02042;Narda;kozseg;Szombathelyi;Vas;1035;484;47.2375;16.4612
02051;Savoly;kozseg;Marcali;Somogy;2684;440;46.5914;17.2693
02060;Gonyu;kozseg;Gyori;Gyor-Moson-Sopron;2163;3080;47.7331;17.8279
02079;Dunaremete;kozseg;Mosonmagyarovari;Gyor-Moson-Sopron;436;252;47.8766;17.4371
02088;Mand;kozseg;Fehergyarmati;Szabolcs-Szatmar-Bereg;517;270;47.9984;22.6082
02097;Gutorfolde;kozseg;Zalaegerszegi;Zala;2485;902;46.6413;16.7365
02103;Maroc;kozseg;Letenyei;Zala;516;60;46.5484;16.6652
02121;Csanadalberti;kozseg;Makoi;Csongrad;1532;428;46.3259;20.7083
02130;Mihalyfa;kozseg;Zalaszentgroti;Zala;1207;318;46.9801;17.1907
02149;Fokto;kozseg;Kalocsai;Bacs-Kiskun;3146;1552;46.529;18.9193
02158;Muhi;kozseg;Tiszaujvarosi;Borsod-Abauj-Zemplen;962;459;47.9796;20.9289
02167;Komadi;varos;Berettyoujfalui;Hajdu-Bihar;14465;5078;47.0013;21.4899
02185;Csopak;kozseg;Balatonfuredi;Veszprem;2398;1795;46.9735;17.929
02194;Nemesvamos;kozseg;Veszpremi;Veszprem;4078;2845;47.0549;17.8718
02200;Isztimer;kozseg;Mori;Fejer;5388;922;47.2784;18.196
02219;Balatonfuzfo;varos;Balatonalmadi;Veszprem;925;4453;47.062;18.041
02228;Martonfa;kozseg;Pecsvaradi;Baranya;569;206;46.1163;18.3731
02237;Vag;kozseg;Csornai;Gyor-Moson-Sopron;1403;452;47.4462;17.2112
02246;Vat;kozseg;Szombathelyi;Vas;2327;691;47.283;16.7758
02264;Vasarosdombo;kozseg;Hegyhati;Baranya;1174;1048;46.3055;18.1323
02273;Abaujvar;kozseg;Gonci;Borsod-Abauj-Zemplen;735;217;48.526;21.3146
02282;Hejokurt;kozseg;Tiszaujvarosi;Borsod-Abauj-Zemplen;1491;270;47.8556;20.9929
02291;Tiszababolna;kozseg;Mezokovesdi;Borsod-Abauj-Zemplen;3269;328;47.6868;20.8118
02307;Kaba;varos;Puspokladanyi;Hajdu-Bihar;9504;5584;47.3576;21.2743
02316;Etyek;nagykozseg;Bicskei;Fejer;5327;4136;47.4449;18.7505
02325;Baktaloranthaza;varos;Baktaloranthazai;Szabolcs-Szatmar-Bereg;3524;3885;47.9994;22.0794
02343;Kincsesbanya;kozseg;Mori;Fejer;1087;1383;47.2645;18.2739
02352;Ujkigyos;varos;Bekescsabai;Bekes;5492;4897;46.5952;21.0249
02361;Nagybajcs;kozseg;Gyori;Gyor-Moson-Sopron;765;996;47.7645;17.6869
02370;Rad;kozseg;Vaci;Pest;1774;1952;47.7921;19.2194
02389;Bercel;kozseg;Balassagyarmati;Nograd;3590;1861;47.8698;19.4035
02404;Surd;kozseg;Nagykanizsai;Zala;2194;584;46.3198;16.9689
02413;Kisbabot;kozseg;Teti;Gyor-Moson-Sopron;610;235;47.5559;17.4173
02422;Hegyesd;kozseg;Tapolcai;Veszprem;1105;150;46.9159;17.5221
02431;Buk;varos;Koszegi;Vas;2086;3624;47.3834;16.7533
02440;Szatta;kozseg;Kormendi;Vas;601;65;46.7989;16.4804
02459;Vajta;kozseg;Sarbogardi;Fejer;2343;799;46.718;18.6649
02468;Hegymeg;kozseg;Edelenyi;Borsod-Abauj-Zemplen;570;109;48.331;20.8614
02477;Csombard;kozseg;Kaposvari;Somogy;899;231;46.4521;17.6721
02486;Zalacseb;kozseg;Zalaegerszegi;Zala;963;465;46.8582;16.6602
02495;Nagycenk;nagykozseg;Soproni;Gyor-Moson-Sopron;1945;2251;47.6034;16.6977
02501;Kisunyom;kozseg;Szombathelyi;Vas;1000;428;47.1471;16.6415
02510;Kocs;kozseg;Tatai;Komarom-Esztergom;5829;2517;47.6055;18.2132
02529;Varfolde;kozseg;Letenyei;Zala;1487;185;46.5554;16.7614
02547;Sumony;kozseg;Szentlorinci;Baranya;2021;419;45.9686;17.9163
02556;Morichida;kozseg;Teti;Gyor-Moson-Sopron;3230;821;47.5151;17.4203
02565;Dobrokoz;kozseg;Dombovari;Tolna;4313;1922;46.4241;18.2393
02574;Kenez;kozseg;Sarvari;Vas;717;276;47.2025;16.7884
02583;Csesztreg;kozseg;Lenti;Zala;2300;802;46.7168;16.5152
02608;Zalaszentivan;kozseg;Zalaegerszegi;Zala;1310;1055;46.8918;16.8972
02617;Sopronnemeti;kozseg;Csornai;Gyor-Moson-Sopron;710;300;47.5364;17.2073
02626;Martfu;varos;Szolnoki;Jasz-Nagykun-Szolnok;2308;6030;47.0186;20.2814
02635;Otteveny;kozseg;Gyori;Gyor-Moson-Sopron;2366;3061;47.725;17.4885
02644;Alibanfa;kozseg;Zalaegerszegi;Zala;584;401;46.8846;16.921
02653;Nagyharsany;kozseg;Siklosi;Baranya;2601;1399;45.8474;18.3998
02662;Milejszeg;kozseg;Zalaegerszegi;Zala;908;349;46.7888;16.742
02671;Kantorjanosi;kozseg;Mateszalkai;Szabolcs-Szatmar-Bereg;4162;2030;47.9359;22.1489
02680;Bekesszentandras;nagykozseg;Szarvasi;Bekes;7745;3436;46.8717;20.4851
02699;Sarkeszi;kozseg;Szekesfehervari;Fejer;1479;612;47.1582;18.2859
02705;Palmonostora;kozseg;Kiskunfelegyhazi;Bacs-Kiskun;5328;1788;46.6264;19.9444
02714;Totvazsony;kozseg;Veszpremi;Veszprem;4251;1309;47.0083;17.7874
02723;Saregres;kozseg;Sarbogardi;Fejer;2616;716;46.7815;18.5973
02741;Faj;kozseg;Encsi;Borsod-Abauj-Zemplen;1932;462;48.4212;21.0764
02750;Vertesacsa;kozseg;Bicskei;Fejer;3619;1753;47.3744;18.5797
02769;Tapioszolos;kozseg;Cegledi;Pest;3181;2781;47.2958;19.8338
02778;Ludanyhalaszi;kozseg;Szecsenyi;Nograd;2113;1379;48.1347;19.5243
02787;Nemesgulacs;kozseg;Tapolcai;Veszprem;835;930;46.8348;17.4834
02796;Nak;kozseg;Dombovari;Tolna;2778;512;46.4773;18.0515
02802;Enying;varos;Enyingi;Fejer;8278;6615;46.9269;18.245
02811;Miszla;kozseg;Tamasi;Tolna;3471;248;46.6315;18.4834
02820;Abaujlak;kozseg;Szikszoi;Borsod-Abauj-Zemplen;706;69;48.4051;20.9551
02839;Nemeskocs;kozseg;Celldomolki;Vas;793;314;47.1995;17.1865
02848;Felsozsolca;varos;Miskolci;Borsod-Abauj-Zemplen;1625;6373;48.1041;20.8605
02857;Geresdlak;kozseg;Pecsvaradi;Baranya;2528;730;46.1083;18.527
02866;Oszlar;kozseg;Tiszaujvarosi;Borsod-Abauj-Zemplen;571;337;47.872;21.0353
02875;Sata;kozseg;Ozdi;Borsod-Abauj-Zemplen;1650;1082;48.1851;20.3932
02884;Vasalja;kozseg;Kormendi;Vas;1124;332;47.0121;16.5134
02893;Sored;kozseg;Mori;Fejer;625;586;47.3227;18.2807
02909;Magyarszentmiklos;kozseg;Nagykanizsai;Zala;419;233;46.5376;16.936
02918;Balmazujvaros;varos;Balmazujvarosi;Hajdu-Bihar;20544;17026;47.6116;21.3437
02927;Duka;kozseg;Celldomolki;Vas;1524;211;47.1252;17.1123
02936;Dudar;kozseg;Zirci;Veszprem;2458;1655;47.3106;17.9439
02945;Biri;kozseg;Nagykalloi;Szabolcs-Szatmar-Bereg;2259;1399;47.8123;21.8509
02954;Felsoszentivan;kozseg;Bajai;Bacs-Kiskun;5354;1728;46.1948;19.1882
02963;Bukkszek;kozseg;Petervasarai;Heves;1530;682;47.9889;20.1752
02972;Zalasarszeg;kozseg;Nagykanizsai;Zala;304;114;46.4927;17.0794
02981;Egerfarmos;kozseg;Fuzesabonyi;Heves;2380;708;47.7183;20.5364
02990;Batorliget;kozseg;Nyirbatori;Szabolcs-Szatmar-Bereg;3330;698;47.7572;22.2712
03009;Szombathely;megyeszekhely;Szombathelyi;Vas;9750;78407;47.2291;16.6188
03018;Szebeny;kozseg;Mohacsi;Baranya;1437;272;46.1311;18.587
03036;Doroske;kozseg;Kormendi;Vas;440;85;47.0117;16.6961
03045;Hajduboszormeny;varos;Hajduboszormenyi;Hajdu-Bihar;37074;30267;47.6717;21.5079
03054;Lickovadamos;kozseg;Zalaegerszegi;Zala;669;163;46.7446;16.7705
03063;Zadorfalva;kozseg;Putnoki;Borsod-Abauj-Zemplen;1375;465;48.3868;20.4848
03072;Balatoncsicso;kozseg;Balatonfuredi;Veszprem;1320;214;46.9266;17.6689
03081;Sajohidveg;kozseg;Miskolci;Borsod-Abauj-Zemplen;1344;1080;48.0031;20.9503
03090;Borgata;kozseg;Celldomolki;Vas;621;172;47.1618;17.0799
03106;Ketsoprony;kozseg;Bekescsabai;Bekes;5124;1268;46.7192;20.884
03115;Dunaujvaros;megyei_jogu_varos;Dunaujvarosi;Fejer;5267;44200;46.967;18.9394
03124;Szentkozmadombja;kozseg;Zalaegerszegi;Zala;508;58;46.6799;16.7615
03133;Taktaszada;kozseg;Szerencsi;Borsod-Abauj-Zemplen;2574;1925;48.1108;21.176
03142;Vonock;kozseg;Celldomolki;Vas;1760;699;47.3133;17.1606
03151;Kistapolca;kozseg;Siklosi;Baranya;357;163;45.8221;18.3841
03160;Szuhafo;kozseg;Putnoki;Borsod-Abauj-Zemplen;1605;135;48.4085;20.4518
03188;Iborfia;kozseg;Zalaegerszegi;Zala;259;12;46.7383;16.7496
03197;Rabahidveg;kozseg;Vasvari;Vas;2241;1019;47.0724;16.7414
03203;Nyim;kozseg;Siofoki;Somogy;976;310;46.8025;18.1083
03212;Sajoivanka;kozseg;Kazincbarcikai;Borsod-Abauj-Zemplen;1023;587;48.2661;20.5794
03221;Magyarlak;kozseg;Szentgotthardi;Vas;762;804;46.9519;16.3487
03230;Fajsz;kozseg;Kalocsai;Bacs-Kiskun;3199;1600;46.4161;18.922
03249;Orhalom;kozseg;Balassagyarmati;Nograd;1746;892;48.0778;19.4103
03258;Foldes;nagykozseg;Puspokladanyi;Hajdu-Bihar;6524;3767;47.2882;21.3642
03267;Badacsonytordemic;kozseg;Tapolcai;Veszprem;1025;830;46.812;17.4737
03276;Fuzesabony;varos;Fuzesabonyi;Heves;4634;7360;47.7485;20.4143
03285;Hirics;kozseg;Sellyei;Baranya;1468;238;45.8261;17.9936
03294;Molnaszecsod;kozseg;Kormendi;Vas;1169;413;47.0458;16.6766
03300;Iklad;kozseg;Aszodi;Pest;1121;1994;47.6594;19.4434
03319;Artand;kozseg;Berettyoujfalui;Hajdu-Bihar;1981;558;47.1237;21.7599
03328;Ipolytarnoc;kozseg;Salgotarjani;Nograd;1366;421;48.2376;19.627
03337;Ivanbattyan;kozseg;Siklosi;Baranya;613;124;45.9076;18.418
03346;Ivandarda;kozseg;Mohacsi;Baranya;767;222;45.8329;18.5904
03355;Nova;kozseg;Lenti;Zala;3929;805;46.6852;16.6779
03364;Szilsarkany;kozseg;Csornai;Gyor-Moson-Sopron;1670;709;47.538;17.2553
03373;Tiszapuspoki;kozseg;Torokszentmiklosi;Jasz-Nagykun-Szolnok;3745;1982;47.2145;20.3173
03382;Szarvasko;kozseg;Egri;Heves;1259;326;47.9885;20.3302
03391;Piricse;kozseg;Nyirbatori;Szabolcs-Szatmar-Bereg;3699;1824;47.7717;22.1518
03407;Budajeno;kozseg;Budakeszi;Pest;1242;2001;47.5557;18.8038
03416;Somogyszil;kozseg;Kaposvari;Somogy;3846;713;46.5218;17.9967
03425;Bogyiszlo;kozseg;Tolnai;Tolna;5593;2068;46.3832;18.8167
03434;Lasztonya;kozseg;Letenyei;Zala;877;60;46.5561;16.7163
03443;Mezozombor;kozseg;Szerencsi;Borsod-Abauj-Zemplen;3879;2369;48.1503;21.2596
03452;Boldog;kozseg;Hatvani;Heves;2674;2893;47.6012;19.6954
03461;Ketegyhaza;nagykozseg;Gyulai;Bekes;5049;3303;46.5455;21.1856
03470;Mezod;kozseg;Hegyhati;Baranya;1041;113;46.2885;18.1021
03489;Edde;kozseg;Kaposvari;Somogy;851;181;46.5249;17.7165
03498;Vereb;kozseg;Gardonyi;Fejer;2232;771;47.32;18.6177
03504;Sajobabony;varos;Miskolci;Borsod-Abauj-Zemplen;1343;2577;48.175;20.7387
03513;Visznek;kozseg;Gyongyosi;Heves;2273;1062;47.6422;20.033
03522;Baja;varos;Bajai;Bacs-Kiskun;17789;34495;46.1785;18.9511
03531;Leh;kozseg;Szikszoi;Borsod-Abauj-Zemplen;845;399;48.2923;20.9805
03540;Kokeny;kozseg;Pecsi;Baranya;490;577;46.001;18.2043
03559;Balatonvilagos;kozseg;Siofoki;Somogy;2921;1216;46.9642;18.1593
03568;Szentantalfa;kozseg;Balatonfuredi;Veszprem;661;483;46.9122;17.674
